Heure;Event;Fichier
17h46m39s;START MOTEUR; 
17h46m39s;START ENCODER;0014.h264
17h46m48s;START AWB ALGO; 
17h46m49s;END AWB ALGO; 
17h46m58s;START AWB ALGO; 
17h46m58s;END AWB ALGO; 
17h47m08s;START AWB ALGO; 
17h47m08s;END AWB ALGO; 
17h47m17s;START AWB ALGO; 
17h47m19s;END AWB ALGO; 
17h47m29s;START AWB ALGO; 
17h47m29s;END AWB ALGO; 
17h47m39s;START AWB ALGO; 
17h47m39s;END AWB ALGO; 
17h47m48s;START AWB ALGO; 
17h47m49s;END AWB ALGO; 
17h47m58s;START AWB ALGO; 
17h47m58s;END AWB ALGO; 
17h48m08s;START AWB ALGO; 
17h48m08s;END AWB ALGO; 
17h48m17s;START AWB ALGO; 
17h48m17s;END AWB ALGO; 
17h48m27s;START AWB ALGO; 
17h48m27s;END AWB ALGO; 
17h48m36s;START AWB ALGO; 
17h48m36s;END AWB ALGO; 
17h48m46s;START AWB ALGO; 
17h48m46s;END AWB ALGO; 
17h48m55s;START AWB ALGO; 
17h48m56s;END AWB ALGO; 
17h49m05s;START AWB ALGO; 
17h49m05s;END AWB ALGO; 
17h49m15s;START AWB ALGO; 
17h49m15s;END AWB ALGO; 
17h49m24s;START AWB ALGO; 
17h49m24s;END AWB ALGO; 
17h49m34s;START AWB ALGO; 
17h49m34s;END AWB ALGO; 
17h49m43s;START AWB ALGO; 
17h49m43s;END AWB ALGO; 
17h49m53s;START AWB ALGO; 
17h49m53s;END AWB ALGO; 
17h50m02s;START AWB ALGO; 
17h50m02s;END AWB ALGO; 
17h50m12s;START AWB ALGO; 
17h50m12s;END AWB ALGO; 
17h50m21s;START AWB ALGO; 
17h50m21s;END AWB ALGO; 
17h50m31s;START AWB ALGO; 
17h50m31s;END AWB ALGO; 
17h50m40s;START AWB ALGO; 
17h50m40s;END AWB ALGO; 
17h50m50s;START AWB ALGO; 
17h50m50s;END AWB ALGO; 
17h50m59s;START AWB ALGO; 
17h51m00s;END AWB ALGO; 
17h51m09s;START AWB ALGO; 
17h51m09s;END AWB ALGO; 
17h51m19s;START AWB ALGO; 
17h51m20s;END AWB ALGO; 
17h51m30s;START AWB ALGO; 
17h51m30s;END AWB ALGO; 
17h51m39s;START AWB ALGO; 
17h51m40s;END AWB ALGO; 
17h51m49s;START AWB ALGO; 
17h51m49s;END AWB ALGO; 
17h51m59s;START AWB ALGO; 
17h51m59s;END AWB ALGO; 
17h52m08s;START AWB ALGO; 
17h52m08s;END AWB ALGO; 
17h52m18s;START AWB ALGO; 
17h52m18s;END AWB ALGO; 
17h52m27s; SORTIE BOUTON
17h52m27s;END ENCODER;0014.h264
17h52m27s;START CONVERSION;0014.h264
17h52m27s;END MOTEUR; 
17h52m28s;END CONVERSION;0014.mp4
